Job ID,Job Title,Company Name,Language and Tools,Job Salary,City,Province,Job Link
job_9c7f38160c736c78,Binance Accelerator Program - Data Analyst (Risk),Binance,"Python, Sql",,Remote,,https://ca.indeed.com/rc/clk?jk=9c7f38160c736c78&bb=JmRuzeGvy_2zALhxc3MIarBRFhvpJXOqvUAT4gD16kUZBZqrZaincbr5w5GdeFRFR5lVtTDOSYG3qRaaNlxCUd9iAZ4zNGSHhliXAEOF9EZGPfKdnjt04V6CWqv09NoG&xkcb=SoBd67M39Kh62wxBJh0LbzkdCdPP&fccid=ac2ee5578fa99fc9&vjs=3
job_0da15fed6a515fe5,Business Analyst,Canadian Nuclear Laboratories,"Power Bi, Power BI, Excel",,Remote,,https://ca.indeed.com/rc/clk?jk=0da15fed6a515fe5&bb=JmRuzeGvy_2zALhxc3MIapjGJCLVcfQuCXINMD0ZX2fshGsyE-WbuTySCweFufuqm7KUD9RgNijBjXW5Y4k44BE95OTVsCTPSV-_TqRmi8c76PdKhL3qNw%3D%3D&xkcb=SoDp67M39Kh62wxBJh0KbzkdCdPP&fccid=a0da53533519eae5&vjs=3
job_2dc0470241aa6066,Geophysicist/Data Analyst,Sander Geophysics Limited,,,Ottawa,ON,https://ca.indeed.com/rc/clk?jk=2dc0470241aa6066&bb=JmRuzeGvy_2zALhxc3MIag9ccUAuLOW1Dzrh0SpILtfpCeYI0f2m_V0nJmm3ELKTjI6oUHs2jvoouZ1hcGXJwqz2OdTGrbbdrVEbiYnjEJZ0unmkp5Mtk3Blskfesl9l&xkcb=SoB067M39Kh62wxBJh0JbzkdCdPP&fccid=cf2319525eb667d8&cmp=Sander-Geophysics&ti=Data+Analyst&vjs=3
job_cbbe0e29b236d2b5,Business Intelligence Data Engineer,"Maximus Services, LLC","Fabric, Power BI, Sql, Machine Learning, Genesys, Python, R, Database","87,875Ã¢â‚¬â€œ$105,000 a year",Toronto,ON,https://ca.indeed.com/rc/clk?jk=cbbe0e29b236d2b5&bb=JmRuzeGvy_2zALhxc3MIatIq34W5eTm_axhH1kaql3EmXHR3DzdSuFA7Wdl-Pw3WNq5e3idEgI6FFppSWY4vfgYXfeESy4Ds6AjbOFB-rVi-Kfwif1ZVHA%3D%3D&xkcb=SoDA67M39Kh62wxBJh0IbzkdCdPP&fccid=9ee077797b9fc8fe&vjs=3
job_fe8ad423818b244a,"BUSINESS INTELLIGENCE SPECIALIST, FT",Niagara Health System,"Azure, Power BI, SQL, Aws",55.39Ã¢â‚¬â€œ$62.66 an hour,Niagara,ON,https://ca.indeed.com/rc/clk?jk=fe8ad423818b244a&bb=JmRuzeGvy_2zALhxc3MIasG6X7EALWLA2O_NSBRT0GAtAlidPagtu3JT4Rh7ciohYKOi3IHio7mv-y57yBy9boH8aWQljDqbOr-C5jPE-5wiHJO1vsTqvPyzpt502CeN&xkcb=SoBO67M39Kh62wxBJh0PbzkdCdPP&fccid=feb4e2a0ab007ccd&vjs=3
job_f582e6a0bf265285,Continuous Improvement Analyst,IMP Group,Excel,,Abbotsford,BC,https://ca.indeed.com/rc/clk?jk=f582e6a0bf265285&bb=JmRuzeGvy_2zALhxc3MIahEL5AV6dtTZQr5PwsRIgNx1cUfsps60htAGAWpCPZqUaIpJVkyQWOGRieWMcz9DNN_0gFM8PiR_CiLro_FyuLYPJ5XmcWGvsr18D3R_AvXm&xkcb=SoD667M39Kh62wxBJh0ObzkdCdPP&fccid=ba7d94faed2f7137&vjs=3
job_4eb5e7ad2131a6e4,IT Business Process Analyst,Ground Effects,"C#, Javascript, Sql, Database",,Windsor,ON,https://ca.indeed.com/rc/clk?jk=4eb5e7ad2131a6e4&bb=JmRuzeGvy_2zALhxc3MIaochWMWKCLOCKMLOI3LICmxboRAGvr9VokqvqQ3b8WwPQwNt4bHPguH5cDTX0ofhW_p7c4XnY1x4D6iDabp3fTU4a1KOcGNs_xEke-O-D4H6&xkcb=SoBn67M39Kh62wxBJh0NbzkdCdPP&fccid=79f22e5df24ef159&cmp=Ground-Effects-Limited-%28CA%29&ti=Business+Process+Analyst&vjs=3
job_2653c4c869003710,Computer Programmer/Analyst,The City of Vancouver,"Database, Sql, Power Platform, Ssis, Azure, Ssrs, Git, .Net, Python, Javascript","43.82Ã¢â‚¬â€œ$51.78 an hour, 43.82 to $, 51.78 per hour",Vancouver,BC,https://ca.indeed.com/rc/clk?jk=2653c4c869003710&bb=JmRuzeGvy_2zALhxc3MIam-QkbHBs9IxEWS2X8Vq5lYcBWBv-xsWaa48GYKxE4gvXFo-NyT7906-gqi4svyc_OS9p7FhZbUp2AURPk3g1vcpm8pLztjtIWJrVfvTl4fh&xkcb=SoDT67M39Kh62wxBJh0MbzkdCdPP&fccid=3d91f889655d303e&vjs=3
job_77bbb022de94357b,"Senior Developer, Business Intelligence",Ontario Health,"Power Bi, Power Platform, Ssis, Sql, Big Data, Sas, Ssrs, Azure, Python, R",,Toronto,ON,https://ca.indeed.com/rc/clk?jk=77bbb022de94357b&bb=JmRuzeGvy_2zALhxc3MIai4zqMfhwYpEFXwkrOhgvkwGCbq6fmLSzeBm95non9TUU6hfVIIbRwvm2CobVtucMiJ_asWcYu57NXO6CDnFyPlL_s5Y6F4Xj0vHjws5l_GU9ErPgelxJV8%3D&xkcb=SoA667M39Kh62wxBJh0DbzkdCdPP&fccid=942edb5b2679caa0&vjs=3
job_bdd0a80ad00cbe3e,OPGT MOD Ã¢â‚¬â€œ ONE (1) BUSINESS ANALYST Ã¢â‚¬â€œ SENIOR,Softline Technology,"Sql, Gap, Power BI",,Toronto,ON,https://ca.indeed.com/rc/clk?jk=bdd0a80ad00cbe3e&bb=JmRuzeGvy_2zALhxc3MIavwkFu9AKt5zgZXleAK8f20pSb46-243ptAS2of-3xMLCqsTS0SdiIVaAJYD66EU02v5z-Z3QDXdcp3A4O2PzbF5cC7U_7S34FcKQUbT1qoj&xkcb=SoCO67M39Kh62wxBJh0CbzkdCdPP&fccid=7daf5f63799421da&vjs=3
job_899e1b2a05c922a5,OPGT MOD Ã¢â‚¬â€œ ONE (1) BUSINESS ANALYST Ã¢â‚¬â€œ SENIOR,Softline Technology,"Sql, Gap, Power BI",,Toronto,ON,https://ca.indeed.com/rc/clk?jk=899e1b2a05c922a5&bb=JmRuzeGvy_2zALhxc3MIatQyZ-XZheau7APnDT304bftWmTvqkYbBAm6pwrjiObKwpbWg8fpJ-qNsGWMmTZFdZWexP5iB8NPEYvCAFyiiZYgyklkv5sub6dorIAJdagY&xkcb=SoAT67M39Kh62wxBJh0BbzkdCdPP&fccid=7daf5f63799421da&vjs=3
job_9bf7653e7584c766,OPGT MOD Ã¢â‚¬â€œ ONE (1) BUSINESS ANALYST Ã¢â‚¬â€œ SENIOR,Softline Technology,"Sql, Gap, Power BI",,Toronto,ON,https://ca.indeed.com/rc/clk?jk=9bf7653e7584c766&bb=JmRuzeGvy_2zALhxc3MIaiez3LrXrDPIO58pHhqAsUbFuA1q3TvcNlrWxYz6QNCwJVN47uH7ahkTQwrLXiUAbMVOK8lUEfBDbvc-G3OacshXvNWyDBf5KOvrBrf2RfrM&xkcb=SoCn67M39Kh62wxBJh0AbzkdCdPP&fccid=7daf5f63799421da&vjs=3
job_7b921fee25e4bc21,Business Analyst/Quality Assurance Analyst,DLL,"Jira, Excel, Reason, Database","75,898Ã¢â‚¬â€œ$113,847 a year, 75,898 - $, 113,847 DLL is",Burlington,ON,https://ca.indeed.com/rc/clk?jk=7b921fee25e4bc21&bb=JmRuzeGvy_2zALhxc3MIatGUmov7hIZ02gLSaLdm0FMdOjh729ZPdQ73iSAg-AIO3nEYz72ODLaXTkRjXIatWpGsOnWlJjkNDffQFbK1RLpZxCrBr3KORWMGd8AbxyRY&xkcb=SoAp67M39Kh62wxBJh0HbzkdCdPP&fccid=9a721325eadff86e&vjs=3
job_e0dcc5632a6cd36a,Capital & Maintenance Program Analyst,Toronto Hydro,"Gap, Vba, Excel, Sql",,Toronto,ON,https://ca.indeed.com/rc/clk?jk=e0dcc5632a6cd36a&bb=JmRuzeGvy_2zALhxc3MIalQ4S8is-lQ_XCI8Sb1OaUUuOW9MbSXxiKBFD6emKUS_Szd-Cd-paeaPGuUvn3ht8OsHYt6RaOipB3t4W1xA2EfM-_qiTjFmy8gaaB32omrs&xkcb=SoCd67M39Kh62wxBJh0GbzkdCdPP&fccid=3c8d88ba21d4badb&vjs=3
job_a7f95dec60c2103c,Computer Programmer/Analyst,The City of Vancouver,"Database, Sql, Power Platform, Ssis, Azure, Ssrs, Git, .Net, Python, Javascript","47.62Ã¢â‚¬â€œ$56.27 an hour, 47.62 to $, 56.27 per hour",Vancouver,BC,https://ca.indeed.com/rc/clk?jk=a7f95dec60c2103c&bb=JmRuzeGvy_2zALhxc3MIaqxpIT4Vg0pHPm5NOdeEbuoQJF4jGoPvk-Rs6i4q0ODtvAzFe614Jzb9XrNQvliNhwHr0mBbW1DOupxKDLwF35wUbPZWgsZ4GxlwvxthCj7Z&xkcb=SoAA67M39Kh62wxBJh0FbzkdCdPP&fccid=3d91f889655d303e&vjs=3
job_888633823e3a960b,Senior Policy Analyst,Insurance Council of BC,,"89,606Ã¢â‚¬â€œ$128,809 a year, $89,606 - $ 128,809 with, 128,809 with a, 112,008 per annum",Vancouver,BC,https://ca.indeed.com/rc/clk?jk=888633823e3a960b&bb=H-WBgSvMZUIpm6U4-KIoieN-BIpUVg1XNob_GeA0l3-u22mn0eW0vu9Ft7SL1IRiVyEVFAZ-jUTXshQPv0veha3rqzFq1SUdt7FMW5OlP558TTlSdL8tsXeMBxuLyo4m&xkcb=SoA767M39Kh69wSD4Z0IbzkdCdPP&fccid=22edda3b09c04a27&vjs=3
job_9d84d5db08887bff,Business Operations Analyst (1 year Contract),TMX Group Limited,Database,,Toronto,ON,https://ca.indeed.com/rc/clk?jk=9d84d5db08887bff&bb=H-WBgSvMZUIpm6U4-KIoiRmtj_eesp8pWJDM8z_ZhHdWNil10rHBCq1V6CRJq0fApGCFEEvb7XaqHYOQVH5k0ovHL7ejor2-lmOpr38qi7B7Hp33FuUzb62aO83FhWx0&xkcb=SoC167M39Kh69wSD4Z0PbzkdCdPP&fccid=e703782e9a357fad&vjs=3
job_06d9be74b246d0d0,Senior Business Systems Analyst,Royal Bank of Canada,"Sql, Big Data, Gap, Jira, Database",,Toronto,ON,https://ca.indeed.com/rc/clk?jk=06d9be74b246d0d0&bb=H-WBgSvMZUIpm6U4-KIoiYQ7puUf6ClzspFzNEq4H-SpCykLhkzjant49VeN_2Ql9Fci_gJl6yPKun76bRamt4JiobXtERWpCn-hyLQgIR_LhrhLE1FmIw%3D%3D&xkcb=SoAB67M39Kh69wSD4Z0ObzkdCdPP&fccid=537b899e30af3338&vjs=3
job_1e57e15d9cfe6a71,Research Analyst - Translational Addiction Research Laboratory,Centre for Addiction and Mental Health,Database,27.48Ã¢â‚¬â€œ$36.65 an hour,Toronto,ON,https://ca.indeed.com/rc/clk?jk=1e57e15d9cfe6a71&bb=H-WBgSvMZUIpm6U4-KIoiSq4YBix6gyi-nmowmiwLmaVS1aXOBqsdlKMfHXtjUSEhbpmuTxTnmzR3JjZDsXutJglPUwEVMf03Jb2fEE1neRv109c9ds74lQCk0cE58Y-&xkcb=SoDj67M39Kh69wyD4Z0LbzkdCdPP&fccid=b73617af558c30fd&vjs=3
job_4dd11f6baed0cfc7,Payroll Analyst,Cenovus Energy,Excel,,Calgary,AB,https://ca.indeed.com/rc/clk?jk=4dd11f6baed0cfc7&bb=H-WBgSvMZUIpm6U4-KIoibme8BtnFT58c1L_qcVx36TccatDyqPtkrMO_iW9B8gIuU3lJ8vleXGnX4KS45OizxkyVj0ZmSgw_pa78TV4mzafDVamf1eUBQYzLxBJSpTl&xkcb=SoBX67M39Kh69wyD4Z0KbzkdCdPP&fccid=f4d35f3a0935fd15&vjs=3
job_e8e9cdec17905888,Lead Business Analyst,Royal Bank of Canada,"Gap, Jira, Sql",,Vancouver,BC,https://ca.indeed.com/rc/clk?jk=e8e9cdec17905888&bb=H-WBgSvMZUIpm6U4-KIoifGRTIlbYjy_pJXmS0plm1aaVdyc1BrLEhZRTlBWBhgsZzQfG9ntFiGYDfUmAzr-Z-j4_MXEQM3lg8veJWu1pxjbHQDGCDt_YQ%3D%3D&xkcb=SoDK67M39Kh69wyD4Z0JbzkdCdPP&fccid=537b899e30af3338&vjs=3
job_b15056840d927310,Data Analyst,Toronto Transit Commission,"Sql, Tableau, Python, Database, Excel, Power Bi, R","83,192Ã¢â‚¬â€œ$104,013 a year, 1 Department : Talent, 83,192.00 - $, 104,013.00 Pay Scale",Toronto,ON,https://ca.indeed.com/rc/clk?jk=b15056840d927310&bb=H-WBgSvMZUIpm6U4-KIoiSUsnHAgRWAmO98PH9NKxWuh7LzMK2DbwqwlRUXTmb3dMzK62bxVzjSGZpFwCezuJupqjE1cDmhSeeRPxvL-7XorEteBMpoQVUAVbiBMd4Zh&xkcb=SoB-67M39Kh69wyD4Z0IbzkdCdPP&fccid=27e2c072380e79ba&vjs=3
job_57405d02ac64960d,HR Technology Lead and Data Analyst,City of Barrie,"Excel, Reason","95,106.71 to $, 127,429.57 Hourly Pay, $52.26 to $70.02 Benefits :",Barrie,ON,https://ca.indeed.com/rc/clk?jk=57405d02ac64960d&bb=H-WBgSvMZUIpm6U4-KIoiU4PV7OSh_fvk8-higwVU6KtiuCSPFbrw0iYtCMQKVQmWoLSdv-sBTncdim7PNjORgAWy44NvOsmKQnghia3rcyVTiERgrpllasyeSlwMp_Y&xkcb=SoDw67M39Kh69wyD4Z0PbzkdCdPP&fccid=56897ef9a1dfc87f&vjs=3
job_b3242ab2ba55b269,Business Data Analyst,Accencis Group,,43.50 an hour,Richmond Hill,ON,https://ca.indeed.com/rc/clk?jk=b3242ab2ba55b269&bb=H-WBgSvMZUIpm6U4-KIoiYE7I8GuJyKZZtPj24s_WGm8xlfhgzsQpOCE0HcUd7maXee7ydbjykA-nImsEirTNDuuh16BFiqfSN5fXNl6pJ9e0FwkjmE0GA%3D%3D&xkcb=SoBE67M39Kh69wyD4Z0ObzkdCdPP&fccid=228ffa6406a20242&vjs=3
job_87429f998a996846,(Data-driven) Marketing Analyst,Weyburn Credit Union,"Html, Tableau, Sql, Css, Python, Javascript, R, Power BI","61,181Ã¢â‚¬â€œ$76,458 a year, 61,181 to $, 76,458 based on",Weyburn,SK,https://ca.indeed.com/rc/clk?jk=87429f998a996846&bb=H-WBgSvMZUIpm6U4-KIoiVfnrxv3d73xNhw8yw8cWVVH-LaLy440DqNfxuHuzFgVEe6mWL3Kc_Q0xsLLuWDdghp2ViS62uCqbqLLM11eNGUIrS2vOVC7GpgRSc24Xx1p&xkcb=SoDZ67M39Kh69wyD4Z0NbzkdCdPP&fccid=3bc34544a7f0763d&vjs=3
job_c7a6ad6bb1f69a45,Quality Analyst,Closing the Gap Healthcare,"Gap, Power BI, Excel",,Mississauga,ON,https://ca.indeed.com/rc/clk?jk=c7a6ad6bb1f69a45&bb=H-WBgSvMZUIpm6U4-KIoiX9xng1Si1i80qJ3RqSdO08T7K80mSR4yCmT3nUrJ8beNhAP2g_T5djpOVHvOLDGeULhzjqsRuYHFZaqRvU7MDykGQKI6uD6ucfq3q8iy87X&xkcb=SoBt67M39Kh69wyD4Z0MbzkdCdPP&fccid=13ad7eb3ec8f709e&vjs=3
